"slug","symbol","date","open","close","market_cap","rank","ret","cum_ret","log_ret","cum_log_ret","Code","market_cap_category"
"keep3rv1","KP3R",2022-05-22,148.86,146.49,29298430.86,738,-0.02,3.34,-0.02,1.48,"CW2020","Under 50M"
"eos","EOS",2017-10-20,0.57,0.54,226230288.3,91,-0.05,-0.44,-0.05,-0.62,"CW2016","Under 500M"
"beefy-finance","BIFI",2023-03-14,453.91,466.11,37288920.29,742,0.03,3.41,0.03,1.6,"PB2024","Under 50M"
"rss3","RSS3",2023-08-26,0.09,0.09,40424758.14,288,0,-0.72,0,-1.21,"PB2024","Under 50M"
"alpaca-finance","ALPACA",2024-03-07,0.22,0.23,33951283.61,783,0.05,-0.97,0.04,-3.55,"PB2024","Under 50M"
"wing","WING",2023-09-12,4.86,4.85,17636661.69,799,0,-0.95,0,-3.21,"PB2024","Under 50M"
"balancer","BAL",2022-10-17,5.15,5.27,230981163.2,274,0.02,-0.58,0.02,-1.03,"CW2020","Under 500M"
"aura-finance","AURA",2022-10-16,1.64,1.95,0,719,0.19,-1,0.17,-0.52,"CW2020","Under 50M"
"stride","STRD",2024-03-27,3.54,3.52,308916150.3,294,-0.01,4.87,-0.01,1.82,"PB2024","Under 500M"
"dkargo","DKA",2021-09-27,0.12,0.12,119132219.8,392,0,381.32,0,5.94,"BR2020","Under 500M"
"tokenlon-network-token","LON",2023-04-11,0.66,0.65,29020654.25,440,-0.02,-0.7,-0.02,-1.18,"PB2024","Under 50M"
"liquity","LQTY",2022-08-09,1.33,1.09,87599577.62,434,-0.18,-0.94,-0.2,-2.86,"CW2020","Under 100M"
"numeraire","NMR",2017-10-29,12.14,11.46,14305481.37,326,-0.06,-0.75,-0.06,-1.39,"BR2016","Under 50M"
"syntropy","NOIA",2022-12-09,0.04,0.04,23960858.11,386,0,8.46,0,2.25,"PB2024","Under 50M"
"ankreth","ankrETH",2023-05-17,2033,2030.31,59549063.04,428,0,-0.67,0,-1.1,"PB2024","Under 100M"
"monacoin","MONA",2015-04-23,0.09,0.09,1794641.67,823,0,-0.44,0,-0.54,"CW2014","Under 50M"
"xsgd","XSGD",2023-09-05,0.73,0.73,42420093.92,688,0,-0.19,0,-0.04,"PB2024","Under 50M"
"iota","IOTA",2022-12-23,0.17,0.17,472251347.9,102,0,-0.81,0,-1.53,"PB2024","Under 500M"
"paxos-standard","USDP",2018-12-29,1.01,1.02,148004003.3,360,0.01,0,0.01,0,"CW2016","Under 500M"
"quantum-resistant-ledger","QRL",2022-10-26,0.16,0.16,12328546.51,860,0,-0.93,0,-2.64,"CW2020","Under 50M"
"lto-network","LTO",2022-11-23,0.07,0.07,30347681.59,497,0,9.83,0,2.44,"CW2020","Under 50M"
"ontology","ONT",2021-02-06,0.67,0.66,530327589.6,194,-0.01,-0.76,-0.02,-1.48,"BR2020","Under 1B"
"frontier","FRONT",2021-06-19,0.7,0.71,31302892.42,495,0.01,-0.14,0.01,-0.08,"CW2020","Under 50M"
"dodo","DODO",2021-12-05,1.03,0.93,102521921.9,414,-0.1,1.37,-0.1,0.89,"CW2020","Under 500M"
"strike","STRK",2022-07-26,18.79,18.93,62395241.6,591,0.01,-0.88,0.01,-1.41,"CW2020","Under 100M"
"maple","MPL",2023-11-26,17.94,17.68,78099646.19,557,-0.01,0.1,-0.01,-0.02,"PB2024","Under 100M"
"isiklar-coin","ISIKC",2021-07-15,0.42,0.42,1637882.93,667,0,0.56,0,0.49,"BR2020","Under 50M"
"hathor","HTR",2024-01-19,0.07,0.07,18361004.45,858,0,-0.81,0,-1.67,"PB2024","Under 50M"
"loopring","LRC",2021-01-28,0.4,0.45,543620859.2,177,0.12,21.45,0.12,3.15,"BR2020","Under 1B"
"pocket-network","POKT",2023-11-27,0.07,0.07,111729346,245,0,-0.84,0,-1.88,"PB2024","Under 500M"
"league-of-kingdoms","LOKA",2023-01-17,0.42,0.53,39364959.95,653,0.26,-0.71,0.23,-1.3,"PB2024","Under 50M"
"cellframe","CELL",2023-09-12,0.16,0.17,4752484.22,831,0.06,-0.96,0.06,-3.13,"PB2024","Under 50M"
"dextools","DEXT",2021-07-22,0.2,0.21,20014817.78,524,0.05,10.52,0.05,2.43,"BR2020","Under 50M"
"constitutiondao","PEOPLE",2023-02-19,0.03,0.03,148253838.9,364,0,1115.19,0,6.97,"PB2024","Under 500M"
"ethereum","ETH",2020-03-13,112.69,133.2,14663417618,2,0.18,31.25,0.17,3.44,"PB2020","Under 50B"
"yield-app","YLD",2023-06-30,0.12,0.12,25898478.08,826,0,-0.6,0,-0.76,"PB2024","Under 50M"
"get-protocol","GET",2024-04-04,3.55,3.19,36330991.89,769,-0.1,-0.77,-0.11,-1.42,"PB2024","Under 50M"
"onbuff","ONIT",2021-12-29,0.21,0.2,0,748,-0.05,0.11,-0.05,0.11,"CW2020","Under 50M"
"pivx","PIVX",2020-05-05,0.29,0.29,16225224.35,751,0,31.4,0,3.69,"PB2020","Under 50M"
